time,,open,high,low,close,volume
2014.05.20,0:00,1292.35,1296.47,1285.52,1293.75,33942
2014.05.21,0:00,1293.69,1295.88,1282.91,1291.55,34967
2014.05.22,0:00,1291.7,1303.31,1289.66,1293.55,27841
2014.05.23,0:00,1293.53,1295.11,1286.26,1292.23,21185
2014.05.26,0:00,1293.55,1293.75,1290.45,1292.29,11447
2014.05.27,0:00,1292.3,1292.97,1263.98,1264.53,39306
2014.05.28,0:00,1264.27,1266.75,1255.58,1257.78,35269
2014.05.29,0:00,1258.02,1260.03,1251.06,1255.35,34766
2014.05.30,0:00,1257.26,1259.96,1241.87,1249.03,34008
2014.06.02,0:00,1249.7,1250.42,1240.58,1243.42,28341
2014.06.03,0:00,1243.64,1247.28,1240.15,1244.45,29285
2014.06.04,0:00,1244.31,1248.55,1242.45,1243.35,13662
2014.06.05,0:00,1243.4,1257.5,1240.75,1253.15,10589
2014.06.06,0:00,1252.95,1257.3,1245.45,1252.6,11078
2014.06.09,0:00,1252.3,1256.6,1251.15,1251.9,6555
2014.06.10,0:00,1252.05,1263.15,1249.85,1259.35,7633
2014.06.11,0:00,1259.5,1264.8,1257.35,1260.5,7616
2014.06.12,0:00,1260.55,1274.4,1259.45,1272.9,10089
2014.06.13,0:00,1272.6,1277.49,1270.35,1276.39,11853
2014.06.16,0:00,1277.04,1284.49,1270.17,1271.44,35423
2014.06.17,0:00,1271.17,1272.85,1258.5,1270.16,30684
2014.06.18,0:00,1271.45,1278.08,1265.93,1277.18,28779
2014.06.19,0:00,1277.46,1321.14,1275.57,1319.84,46462
2014.06.20,0:00,1319.31,1321.53,1306.05,1314.3,42269
2014.06.23,0:00,1313.37,1318.1,1309.54,1316.95,30447
2014.06.24,0:00,1317.05,1325.51,1313.47,1317.87,30890
2014.06.25,0:00,1317.49,1324.4,1309.29,1318.75,32827
2014.06.26,0:00,1318.41,1319.37,1305.86,1316.2,36424
2014.06.27,0:00,1315.65,1321.82,1312.24,1315.72,32678
2014.06.30,0:00,1315.92,1329.04,1309.89,1326.86,37664
2014.07.01,0:00,1326.3,1332.9,1323.38,1325.93,35254
2014.07.02,0:00,1325.95,1331.57,1320.88,1326.27,30881
2014.07.03,0:00,1327.17,1327.17,1309.06,1319.03,35062
2014.07.04,0:00,1319.75,1322.75,1318.28,1319.92,12868
2014.07.07,0:00,1320.16,1320.35,1311.01,1319.4,22695
2014.07.08,0:00,1319.35,1324.4,1313.05,1318.76,27868
2014.07.09,0:00,1319.05,1331.86,1317.43,1327.3,33000
2014.07.10,0:00,1323.81,1344.71,1323.81,1335.26,38271
2014.07.11,0:00,1335.04,1338.8,1333.31,1338.22,24468
2014.07.14,0:00,1338.57,1339.19,1302.89,1306.67,44782
2014.07.15,0:00,1307.8,1313.37,1291.78,1293.54,41590
2014.07.16,0:00,1294,1303.31,1292.78,1298.73,32335
2014.07.17,0:00,1299.31,1323.83,1297.28,1318.69,44301
2014.07.18,0:00,1318,1324.26,1304.11,1310.43,35989
2014.07.21,0:00,1309.76,1317.95,1306.98,1312.01,25294
2014.07.22,0:00,1311.36,1315.4,1301.61,1305.93,38689
2014.07.23,0:00,1307.04,1310.81,1302.72,1304.14,26547
2014.07.24,0:00,1303.65,1304.77,1287.22,1293.22,43491
2014.07.25,0:00,1293.5,1308.17,1290.48,1306.66,31880
2014.07.28,0:00,1307.39,1308.83,1300.91,1303.64,32134
2014.07.29,0:00,1303.35,1311.81,1295.73,1298.71,35448
2014.07.30,0:00,1298.33,1303.28,1291.44,1295.77,34647
2014.07.31,0:00,1295.18,1296.88,1280.25,1282.19,35773
2014.08.01,0:00,1282.53,1296.84,1279.99,1293.36,37591
2014.08.04,0:00,1293.22,1295.02,1285.7,1287.78,22055
2014.08.05,0:00,1287.77,1293.64,1282.08,1288.3,32699
2014.08.06,0:00,1287.5,1309.11,1287.25,1305.39,34671
2014.08.07,0:00,1305.2,1314.14,1301.54,1312.08,35895
2014.08.08,0:00,1312.78,1322.28,1305.44,1309.08,43731
2014.08.11,0:00,1308.39,1311.09,1304.78,1307.96,24225
2014.08.12,0:00,1307.27,1317.44,1305.3,1308.9,30358
2014.08.13,0:00,1308.05,1314.59,1304.5,1312.39,32013
2014.08.14,0:00,1311.72,1318.97,1308.36,1313.04,34713
2014.08.15,0:00,1311.75,1314.77,1292.09,1304.28,41870
2014.08.18,0:00,1302.39,1303.28,1295.2,1297.87,24788
2014.08.19,0:00,1296.99,1301.97,1293.42,1295.23,25010
2014.08.20,0:00,1295.52,1297.56,1287.46,1291.42,28938
2014.08.21,0:00,1290.59,1290.72,1272.63,1276.24,34968
2014.08.22,0:00,1277.14,1282.56,1273.79,1280.62,32194
2014.08.25,0:00,1279.53,1280.81,1272.73,1276.32,23874
2014.08.26,0:00,1276.12,1290.53,1275.01,1280.65,34496
2014.08.27,0:00,1281.86,1286.97,1279.75,1282.12,24330
2014.08.28,0:00,1282.64,1296.08,1281.91,1289.15,36745
2014.08.29,0:00,1289.02,1290.98,1283.05,1286.77,26068
2014.09.01,0:00,1287.42,1289.54,1284.42,1286.62,10683
2014.09.02,0:00,1287.39,1287.59,1262.07,1264.95,39583
2014.09.03,0:00,1265.72,1271.16,1260.89,1268.89,33169
2014.09.04,0:00,1269.29,1276.82,1260.21,1261.22,44829
2014.09.05,0:00,1260.63,1273.26,1256.82,1268.23,34159
2014.09.08,0:00,1267.84,1271.43,1251.09,1254.95,31008
2014.09.09,0:00,1255.87,1257.77,1247.08,1255,37982
2014.09.10,0:00,1255.04,1257.35,1243.43,1249.26,38926
2014.09.11,0:00,1248.58,1249.81,1234.54,1240.32,41330
2014.09.12,0:00,1239.98,1241.24,1227.17,1229.25,37109
2014.09.15,0:00,1226.81,1238.17,1225.19,1232.74,29023
2014.09.16,0:00,1232.12,1241.6,1231.3,1235.07,35340
2014.09.17,0:00,1234.26,1238.83,1221.03,1223.1,39997
2014.09.18,0:00,1222,1227.49,1215.47,1224.74,43248
2014.09.19,0:00,1225.01,1228.21,1213.38,1214.78,53226
2014.09.22,0:00,1215.06,1220.02,1207.79,1214.62,40748
2014.09.23,0:00,1213.82,1234.36,1213.82,1222.85,45450
2014.09.24,0:00,1222.35,1225.68,1215.3,1216.57,37436
2014.09.25,0:00,1216.31,1224.11,1206.51,1221.1,46385
2014.09.26,0:00,1221.4,1230.91,1211.92,1217.85,37843
2014.09.29,0:00,1218.3,1222.91,1214.51,1215.36,31892
2014.09.30,0:00,1215.22,1219.73,1204.15,1207.65,45985
2014.10.01,0:00,1208.34,1218.97,1204.44,1213.41,43302
2014.10.02,0:00,1212.78,1222,1208.26,1214.07,52670
2014.10.03,0:00,1213.41,1214.92,1189.63,1190.85,42068
2014.10.06,0:00,1191.05,1208.64,1182.71,1206.8,45958
2014.10.07,0:00,1207.06,1213.03,1202.49,1208.53,45854
2014.10.08,0:00,1209.02,1223.73,1204.52,1220.63,54942
2014.10.09,0:00,1220.9,1232.95,1218.61,1223.81,53461
2014.10.10,0:00,1223.16,1225.03,1216.94,1222.65,40113
2014.10.13,0:00,1223.25,1237.37,1222.86,1235.34,35529
2014.10.14,0:00,1236.75,1237.79,1230.57,1232.38,38902
2014.10.15,0:00,1232.18,1249.25,1221.48,1241.52,68288
2014.10.16,0:00,1241.24,1244.75,1235.09,1238.3,61224
2014.10.17,0:00,1238.41,1241.31,1231.28,1237.63,40169
2014.10.20,0:00,1238.57,1248.3,1234.24,1246.37,31516
